Audiofilename,Starttime,Endtime
a1.wav,481.0,482.5
a1.wav,485.5,487.5
a1.wav,498.0,498.5
a1.wav,529.5,531.0
a1.wav,532.5,533.0
a1.wav,533.5,536.5
a1.wav,537.5,541.0
a1.wav,541.5,544.0
a1.wav,545.0,546.0
a1.wav,546.5,548.5
a1.wav,549.0,550.0
a1.wav,552.0,553.0
a1.wav,554.0,555.0
a1.wav,557.5,558.0
a1.wav,560.5,561.0
a1.wav,562.5,563.0
a1.wav,563.5,564.0
a1.wav,564.5,565.5
a1.wav,566.0,567.5
a1.wav,568.5,569.5
a1.wav,571.0,571.5
a1.wav,575.0,575.5
a1.wav,576.5,577.5
a1.wav,578.0,578.5
a1.wav,580.0,580.5
a1.wav,581.5,584.5
a1.wav,585.5,586.0
a1.wav,586.5,587.0
a1.wav,588.0,589.0
a1.wav,590.5,591.5
a1.wav,593.0,595.0
a1.wav,599.0,599.5
a1.wav,600.5,601.5
a1.wav,602.5,603.0
a1.wav,603.5,604.0
a1.wav,604.5,605.0
a1.wav,605.5,606.0
a1.wav,606.5,607.0
a1.wav,607.5,608.0
a1.wav,610.0,610.5
a1.wav,612.0,612.5
a1.wav,614.0,616.0
a1.wav,616.5,617.0
a1.wav,619.5,620.5
a1.wav,621.0,622.0
a1.wav,639.5,641.0
a1.wav,650.5,651.0
a1.wav,680.0,681.0
a1.wav,740.0,740.5
a1.wav,763.0,763.5
a1.wav,801.0,801.5
a1.wav,818.0,818.5
a1.wav,829.5,830.5
a1.wav,836.5,838.0
a1.wav,839.0,841.0
a1.wav,844.5,845.5
a1.wav,854.5,857.5
a1.wav,888.5,889.0
a1.wav,904.0,904.5
a1.wav,938.0,938.5
a1.wav,939.5,940.0
a1.wav,953.0,954.0
a1.wav,954.5,955.0
a1.wav,956.0,956.5
a1.wav,959.5,960.0
a1.wav,961.5,962.5
a1.wav,965.5,966.0
a1.wav,966.5,969.5
a1.wav,970.0,970.5
a1.wav,984.5,985.0
a1.wav,991.5,992.0
a1.wav,995.5,997.0
a1.wav,999.5,1000.5
a1.wav,1001.5,1002.5
a1.wav,1005.5,1006.0
a1.wav,1008.0,1008.5
a1.wav,1009.0,1009.5
a1.wav,1010.0,1011.0
a1.wav,1012.0,1012.5
a1.wav,1013.0,1014.0
a1.wav,1016.0,1019.0
a1.wav,1020.0,1021.5
a1.wav,1026.5,1027.0
a1.wav,1027.5,1028.0
a1.wav,1028.5,1029.5
a1.wav,1030.5,1032.5
a1.wav,1033.0,1033.5
a1.wav,1034.0,1034.5
a1.wav,1036.0,1036.5
a1.wav,1037.5,1038.0
a1.wav,1040.0,1040.5
a1.wav,1049.5,1050.0
a1.wav,1053.0,1055.5
a1.wav,1057.0,1057.5
a1.wav,1059.0,1059.5
a1.wav,1061.0,1061.5
a1.wav,1078.5,1079.5
a1.wav,1082.0,1083.0
a1.wav,1088.0,1089.5
a1.wav,1095.5,1096.5
a1.wav,1098.0,1099.0
a1.wav,1100.5,1101.0
a1.wav,1106.5,1107.0
a1.wav,1107.5,1108.0
a1.wav,1117.5,1119.0
a1.wav,1119.5,1124.5
a1.wav,1134.0,1134.5
a1.wav,1136.0,1136.5
a1.wav,1138.5,1139.0
a1.wav,1181.5,1182.0
a1.wav,1182.5,1184.0
a1.wav,1272.0,1273.0
a1.wav,1293.5,1294.0
a1.wav,1295.5,1296.5
a1.wav,1297.5,1298.0
a1.wav,1320.5,1321.0
a1.wav,1344.0,1344.5
a1.wav,1365.5,1366.5
a1.wav,1368.5,1369.0
a1.wav,1371.5,1372.0
a1.wav,1375.0,1376.0
a1.wav,1527.0,1528.0
a1.wav,1531.0,1531.5
a1.wav,1532.0,1532.5
a1.wav,1533.0,1533.5
a1.wav,1568.0,1568.5
a1.wav,1750.0,1750.5
a1.wav,1835.5,1836.0
a1.wav,1837.0,1837.5
a1.wav,1851.5,1852.0
a1.wav,1853.0,1853.5
a1.wav,2032.0,2032.5
a1.wav,2073.5,2074.0
a1.wav,2079.0,2079.5
a1.wav,2085.5,2086.0
a1.wav,2100.5,2101.0
a1.wav,2101.5,2102.5
a1.wav,2107.5,2110.0
a1.wav,2111.5,2112.5
a1.wav,2116.5,2117.0
a1.wav,2118.5,2119.0
a1.wav,2120.0,2120.5
a1.wav,2121.0,2121.5
a1.wav,2122.0,2122.5
a1.wav,2124.0,2124.5
a1.wav,2126.0,2126.5
a1.wav,2133.5,2134.0
a1.wav,2148.0,2148.5
a1.wav,2170.0,2170.5
a1.wav,2173.0,2173.5
a1.wav,2181.0,2181.5
a1.wav,2193.0,2194.5
a1.wav,2258.0,2258.5
a1.wav,2261.5,2262.0
a1.wav,2269.0,2269.5
a1.wav,2286.0,2286.5
a1.wav,2288.0,2288.5
a1.wav,2289.0,2289.5
a1.wav,2290.5,2291.5
a1.wav,2294.5,2295.0
a1.wav,2295.5,2296.0
a1.wav,2299.5,2300.0
a1.wav,2300.5,2301.0
a1.wav,2303.0,2303.5
a1.wav,2305.0,2305.5
a1.wav,2306.0,2306.5
a1.wav,2307.5,2308.0
a1.wav,2315.0,2315.5
a1.wav,2316.0,2317.0
a1.wav,2319.5,2320.0
a1.wav,2379.5,2380.0
a1.wav,2406.5,2407.0
a1.wav,2407.5,2408.0
a1.wav,2414.0,2414.5
a1.wav,2417.0,2418.0
a1.wav,2432.5,2433.0
a1.wav,2433.5,2434.0
a1.wav,2458.5,2459.0
a1.wav,2468.0,2468.5
a1.wav,2472.5,2475.0
a1.wav,2476.0,2476.5
a1.wav,2477.0,2478.0
a1.wav,2479.0,2479.5
a1.wav,2480.5,2481.5
a1.wav,2486.0,2486.5
a1.wav,2488.5,2489.0
a1.wav,2494.5,2496.0
a1.wav,2500.0,2501.0
a1.wav,2538.0,2538.5
a1.wav,2551.0,2551.5
a1.wav,2552.0,2553.0
a1.wav,2553.5,2562.0
a1.wav,2562.5,2569.0
a1.wav,2569.5,2570.0
a1.wav,2570.5,2571.5
a1.wav,2573.0,2573.5
a1.wav,2574.5,2576.5
a1.wav,2577.0,2577.5
a1.wav,2578.0,2578.5
a1.wav,2581.0,2581.5
a1.wav,2582.0,2584.0
a1.wav,2584.5,2585.0
a1.wav,2585.5,2586.5
a1.wav,2587.0,2590.5
a1.wav,2591.0,2591.5
a1.wav,2592.0,2595.5
a1.wav,2596.0,2598.0
a1.wav,2599.0,2603.0
a1.wav,2603.5,2606.0
a1.wav,2606.5,2609.5
a1.wav,2610.0,2610.5
a1.wav,2612.5,2613.5
a1.wav,2614.0,2615.0
a1.wav,2630.5,2631.0
a1.wav,2637.5,2638.5
a1.wav,2642.0,2642.5
a1.wav,2643.0,2645.0
a1.wav,2647.5,2651.0
a1.wav,2652.0,2658.0
a1.wav,2658.5,2665.0
a1.wav,2665.5,2668.0
a1.wav,2668.5,2669.0
a1.wav,2669.5,2672.5
a1.wav,2673.0,2674.5
a1.wav,2675.5,2676.0
a1.wav,2685.5,2687.0
a1.wav,2687.5,2688.5
a1.wav,2689.0,2689.5
a1.wav,2690.0,2691.5
a1.wav,2693.0,2694.0
a1.wav,2694.5,2697.0
a1.wav,2697.5,2700.0
a1.wav,2700.5,2702.0
a1.wav,2703.0,2704.0
a1.wav,2704.5,2707.0
a1.wav,2707.5,2710.0
a1.wav,2711.5,2712.0
a1.wav,2714.5,2715.5
a1.wav,2716.5,2717.0
a1.wav,2717.5,2718.5
a1.wav,2720.0,2720.5
a1.wav,2721.0,2721.5
a1.wav,2722.5,2723.0
a1.wav,2735.0,2737.5
a1.wav,2740.0,2740.5
a1.wav,2744.0,2745.5
a1.wav,2748.0,2749.5
a1.wav,2752.5,2753.0
a1.wav,2754.5,2755.0
a1.wav,2759.0,2759.5
a1.wav,2760.5,2761.0
a1.wav,2766.5,2767.5
a1.wav,2768.0,2769.5
a1.wav,2779.0,2779.5
a1.wav,2780.0,2780.5
a1.wav,2831.0,2831.5
a1.wav,2858.5,2859.0
a1.wav,2860.5,2861.0
a1.wav,2861.5,2863.0
